fips,stateabb,subcat,subgroup,gradecenter,gap,tot_asmts_mth,tot_asmts_rla,cellcount_mth,cellcount_rla,mn_asmts_mth,mn_asmts_rla,gcs_mn_avg_mth_ol,gcs_mn_grd_mth_ol,gcs_mn_coh_mth_ol,gcs_mn_avg_rla_ol,gcs_mn_grd_rla_ol,gcs_mn_coh_rla_ol,gcs_mn_avg_mth_ol_se,gcs_mn_grd_mth_ol_se,gcs_mn_coh_mth_ol_se,gcs_mn_avg_rla_ol_se,gcs_mn_grd_rla_ol_se,gcs_mn_coh_rla_ol_se,gcs_mn_avg_mth_eb,gcs_mn_grd_mth_eb,gcs_mn_coh_mth_eb,gcs_mn_avg_rla_eb,gcs_mn_grd_rla_eb,gcs_mn_coh_rla_eb,gcs_mn_avg_mth_eb_se,gcs_mn_grd_mth_eb_se,gcs_mn_coh_mth_eb_se,gcs_mn_avg_rla_eb_se,gcs_mn_grd_rla_eb_se,gcs_mn_coh_rla_eb_se
16,ID,ecd,ecd,5.5,0,584242,582312,54,54,10819.2962962963,10783.55555555555,4.759646050664984,0.9487574260539876,-0.0424510903551706,4.754054384126063,1.077548741210804,0.0255497613225805,0.0222110776873208,0.0152651399546916,0.0073427631034654,0.0222644151950023,0.0151301434623754,0.0073448905041053,4.761096592412257,0.9462939772380322,-0.0421370660030784,4.751112523366262,1.074696836515826,0.0247563883931865,0.0220824903051617,0.01385699644195,0.0071242348708532,0.0221264942958919,0.014395554895844,0.0069864048802411
16,ID,gender,fem,5.5,0,567520,566423,54,54,10509.62962962963,10489.31481481482,5.608235461012844,1.095459690313543,-0.0120652941695908,6.046078885551773,1.13751386294156,0.067255098468308,0.0173090565487791,0.0120237479218823,0.0057101685905955,0.0174694234446228,0.0119406539641484,0.0057372912713912,5.609243904568086,1.093553399631387,-0.0115956384526089,6.045377949283961,1.136668035534419,0.0660722498854782,0.0172335957811782,0.0113122317649963,0.0055981988185699,0.0174153439006272,0.0113501858673578,0.0055765040244377
16,ID,race,hsp,5.5,0,199261,197931,54,54,3690.018518518519,3665.388888888889,4.137888713606909,0.9310047458080518,-0.0503210742548883,4.068441249694801,1.183227118264737,0.0667073634300005,0.0236057571424383,0.0162330793637449,0.0078113282392051,0.023719089001806,0.0160879551071726,0.0078218972313572,4.139019759120058,0.9341441736681746,-0.048450872958208,4.068504972267188,1.178561586130315,0.0652779568936097,0.0234590754354509,0.0148111177306234,0.0076273290701017,0.0235876022251598,0.0151786046180167,0.0075880632266526
16,ID,gender,mal,5.5,0,598910,597751,54,54,11090.92592592593,11069.46296296296,5.704041421140836,1.035763023379787,-0.0270522398434029,5.384364360956694,1.041202435585679,-0.0023611563752523,0.0180963885102072,0.0125439035633685,0.005971946705192,0.0181536212732346,0.0123861512835991,0.0059665118409103,5.705542601930814,1.032945371243686,-0.0273368344590252,5.383147318937813,1.039797033412801,-0.0023496921587307,0.0180168732591881,0.0119823722485849,0.0058604040528335,0.0180674092353283,0.0120196186279592,0.0057274911780325
16,ID,gender,mfg,5.5,1,1166430,1164174,54,54,21600.55555555555,21558.77777777778,0.099149159996561,-0.0594455972191634,-0.0150641632021028,-0.6615882369540025,-0.0987753373861618,-0.0712985566914273,0.0183017000974289,0.0130035644113911,0.0060309124850266,0.0185330470779852,0.0128176206875598,0.0060467679257316,0.0982012431181348,-0.0673552923881179,-0.0162995199702953,-0.6617655130977382,-0.0973861132509788,-0.0696093446883809,0.0179131745796835,0.0088168327948635,0.0053191607994109,0.018200858022723,0.0114620141658077,0.0058854958334126
16,ID,race,mtr,5.5,0,20438,20455,42,42,486.6190476190476,487.0238095238095,5.51257008436065,1.122223048213448,0.0290768847581828,5.69567570005578,1.138084768879692,0.0704045490657646,0.0357274204125909,0.0229306267854783,0.0128804083381437,0.0386048000598004,0.0234552626126432,0.0136143080038783,5.517638218732454,1.114654258820225,0.0267037905636726,5.696523366929845,1.127210596693332,0.0689559224367595,0.0348645836865017,0.0182770595743748,0.0116367385648588,0.0371879370746393,0.0179382967091684,0.0119402458258397
16,ID,race,nam,5.5,0,15793,15741,54,54,292.462962962963,291.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,ID,ecd,nec,5.5,0,558776,558428,54,54,10347.7037037037,10341.25925925926,6.540197168111838,1.131646629377214,0.0087571376654304,6.684974919045942,1.041985959442106,0.0417051045777269,0.0207652449785565,0.0143131783898411,0.0068433610386842,0.0209702552594921,0.0142699731937176,0.0068753192906094,6.542576907081331,1.125944493938116,0.0089422763330234,6.684408415930584,1.041809180229498,0.0410137098469631,0.0206540627074368,0.0133326933430925,0.0066727382805291,0.0208597302893598,0.0133313162135857,0.006670677517462
16,ID,ecd,neg,5.5,1,1143018,1140740,54,54,21167,21124.81481481481,1.781077986576969,0.183966405552792,0.0511152836132355,1.937163730828285,-0.0350527982371843,0.0167421152300549,0.0158658207752201,0.0114963942698968,0.0052218227654471,0.0162708608402103,0.0113716711805906,0.0052567296631196,1.782700040370658,0.1763117197676506,0.0496934596998587,1.936702986599748,-0.0289297821216294,0.0170307889877066,0.0156595921135485,0.0099689124970488,0.0050233714206158,0.016088017515617,0.0105490077519431,0.0050696257840504
16,ID,race,wag,5.5,1,915768,915420,54,54,16958.66666666667,16952.22222222222,-0.4235040734354585,-0.1037658939714134,0.0021475311874674,-0.2665538606329093,-0.0453545240759754,-0.017744060509956,0.039947103239917,0.0270605773375668,0.0131803509311303,0.0415366674424813,0.0270765863145076,0.0134548375490014,-0.4384557920591079,-0.0778797293185791,0.0033137021159657,-0.2480561179106407,-0.0722529831139811,-0.016963656548114,0.0392288867717756,0.0187398741175571,0.0120597854297449,0.0405518847205421,0.0194595437126055,0.0125500395572501
