fips,stateabb,gcs_mn_avg_mth_ol,gcs_mn_avg_rla_ol,urban,suburb,town,rural,perind,perasn,perhsp,perblk,perwht,perfrl,totenrl,hswhtblk,hswhthsp,hsflnfl,hsecdnec,rswhtblk,rswhthsp,rsflnfl,rsecdnec,perecd,sesavgall,sesavgwht,sesavgblk,sesavghsp,sesavgnam
30,MT,5.921101894071022,5.872164030703366,0.23803797,0.027730798,0.38849378,0.34573746,0.1198619,0.0087330043,0.041015618,0.010066246,0.82032323,0.45750695,65705.8,0.16384777,0.11641641,0.1529268,0.22145632,0.032380164,0.05763334,0.1882879,0.24060276,0.49904501,0.11868019,0.36621794,-1.1871063,-0.96628529,-2.7146339
31,NE,5.803415306933596,5.837295013423375,0.43057215,0.1000595,0.23324722,0.23612112,0.015049635,0.024313629,0.1738859,0.072207458,0.7145434,0.445656,133624.65,0.39348793,0.32243079,0.18299466,0.20676902,0.35282046,0.34598333,0.22074972,0.25411797,0.46109986,0.32194757,0.62852859,-2.4822278,-0.98401803,-2.8891494
32,NV,4.993851217011596,4.991275485257538,0.58641648,0.32105142,0.06626644,0.026265686,0.01194338,0.06504342,0.42597002,0.11007207,0.38697112,0.55144066,209224.8888888889,0.28088149,0.24398355,0.22281097,0.24453376,0.29518479,0.29989317,0.27000943,0.28816545,0.56294858,-0.11037563,0.36714479,-1.7557005,-0.7511723,-1.6123862
33,NH,6.50367076736209,6.392912832304173,0.13906436,0.35895592,0.15537645,0.3466033,0.0031160964,0.030896034,0.04596965,0.020092014,0.89992619,0.27579674,85426.6,0.17836675,0.21708593,0.13991639,0.13682146,0.061098762,0.13164905,0.1484156,0.15591678,0.2751177,0.6535688,0.72073215,-0.93262881,-0.81062192,-0.75856978
34,NJ,6.329160620962995,6.367824427153177,0.09568312,0.80849117,0.016341226,0.079484463,0.0012481175,0.09801919,0.23519459,0.15585381,0.50968426,0.35848019,593174.4,0.51827806,0.44490829,0.32239911,0.34422451,0.55964762,0.50776315,0.36832541,0.40368643,0.38340688,0.4623552,0.99619961,-1.3779314,-0.82055277,-1.1193541
35,NM,4.594566584660027,4.482764567293839,0.44987971,0.090262473,0.29703602,0.16282183,0.097025216,0.012322555,0.61670059,0.020608973,0.25334266,0.71361661,150652.4,0.17352459,0.19619358,0.26720244,0.33741379,0.11165545,0.21612516,0.30801949,0.32916862,0.73343432,-0.51698148,0.45838886,-1.1267443,-1.2149029,-2.2121937
36,NY,5.443160837085443,5.836621441825112,0.12824136,0.58150309,0.10841057,0.18184496,0.0057361051,0.088730738,0.23946853,0.17159879,0.49446583,0.50636733,1162825.65,0.61493254,0.53176188,0.28170508,0.24492843,0.66399682,0.58976835,0.33933282,0.29454666,0.4192225,-0.12017114,0.63722748,-1.8837066,-1.7314824,-1.7675931
37,NC,5.769878325795706,5.595529068676366,0.33939859,0.17217886,0.069577366,0.41884521,0.013977844,0.02919526,0.15228093,0.27446926,0.53007668,0.55620998,695563.2,0.3143532,0.21578856,0.2217824,0.15364936,0.36120734,0.24257725,0.26137635,0.19083482,0.52032214,-0.27084145,0.37660393,-2.0946603,-1.1897011,-1.6794536
38,ND,6.006595292902245,5.699887983438788,0.29474777,0.1148271,0.21147344,0.3789517,0.091158226,0.013132165,0.034927394,0.03437455,0.82640767,0.33410931,45527.2,0.1844494,0.19657201,0.11428951,0.15518521,0.071207196,0.083234534,0.13727549,0.18247396,0.34999594,0.48643711,0.72861034,-1.8362398,-0.80779195,-2.5272527
39,OH,5.856197842718892,5.826131965160281,0.18217146,0.44453219,0.13546759,0.23782876,0.0013708848,0.020949215,0.046618257,0.16676578,0.76429588,0.47632027,788951.8,0.53697973,0.25260305,0.21534681,0.28112489,0.56084383,0.20079282,0.26211938,0.32116011,0.48635504,-0.25156122,0.17417932,-2.8530819,-1.4786892,-1.8442469
40,OK,5.081439790727262,5.214600768865632,0.21773212,0.23754349,0.24511734,0.29960707,0.17034844,0.020634685,0.15345633,0.10057866,0.55498189,0.63172835,292772.6,0.34053689,0.26132441,0.16104268,0.19385149,0.33953261,0.293825,0.19987892,0.22341813,0.60192752,-0.23370185,0.15446222,-2.2247839,-0.99459249,-1.092186
41,OR,5.295146710969783,5.428998894810656,0.4182758,0.21210563,0.27139309,0.098225467,0.01716187,0.043825194,0.22992682,0.025866006,0.68322009,0.52813613,259154.65,0.28203532,0.18235882,0.12458843,0.24165869,0.19925642,0.20937929,0.15798639,0.27002427,0.55759573,-0.18272804,0.048554782,-2.3365326,-1.369181,-1.9834788
42,PA,5.89155729350046,5.991616521133757,0.20937243,0.51076221,0.10663506,0.17323031,0.0015789503,0.035903379,0.097954884,0.15368415,0.71087861,0.44510952,791588.6,0.53976083,0.44460955,0.26598299,0.25299332,0.57489949,0.45877075,0.31478634,0.29884818,0.4473204,-0.0071561523,0.42367536,-2.5594761,-2.2369206,-1.7999301
44,RI,5.439916348329486,5.694850492746161,0.27819803,0.62545806,0.0087654367,0.087578475,0.0073155514,0.032324236,0.23147896,0.084451519,0.64442974,0.46164989,63906.95,0.39618728,0.48295856,0.24536771,0.28171492,0.38441485,0.54047877,0.30279845,0.34378555,0.47043878,-0.065547414,0.43033084,-2.0393152,-2.4634542,-2.7697873
45,SC,5.128194356753193,5.059914620301231,0.21465263,0.41087386,0.11102414,0.26344937,0.0034333591,0.015432588,0.077602752,0.35864657,0.54488474,0.59799045,334674.7,0.25228471,0.16812313,0.2037216,0.15330209,0.30057329,0.15775931,0.24209112,0.18827212,0.59741461,-0.43406051,0.35518405,-2.3751924,-1.0074072,-1.6171744
46,SD,5.688852106921605,5.520111828916201,0.28281704,0.0059915395,0.29882956,0.41236189,0.12324804,0.015750147,0.044488966,0.027814362,0.78869849,0.41034251,58313.7,0.26997343,0.16864352,0.17428614,0.22734393,0.15318626,0.092744403,0.21469934,0.25229344,0.45878273,0.18933327,0.61013746,-1.9125655,-1.1471211,-4.1883149
47,TN,5.086063387321409,5.199526681765605,0.313366,0.23926412,0.14147849,0.30589139,0.0018481897,0.018510915,0.079712734,0.2291653,0.67076284,0.5338372,433443.25,0.51572597,0.28432402,0.15904824,0.18160121,0.55440903,0.26692888,0.19541258,0.21748599,0.52939999,-0.42103118,0.00872753,-2.3788497,-1.2209388,-0.95456082
48,TX,5.73978446014051,5.109415423631559,0.43214652,0.31447911,0.10188379,0.15149055,0.0040014209,0.039711013,0.51427805,0.12991959,0.31208995,0.58010417,2276162.8,0.39367923,0.37454224,0.22431245,0.26042101,0.44039363,0.42138752,0.27322716,0.31053022,0.60472989,-0.15139385,0.70887089,-1.6231383,-1.0764091,-0.6589151
49,UT,5.755321906345978,5.829160510334184,0.14881326,0.66283298,0.12343276,0.064921021,0.011819592,0.020450592,0.16390194,0.014253184,0.78957468,0.41463989,283672.4,0.1605127,0.21257213,0.16201721,0.1681591,0.066133529,0.22775504,0.19532947,0.20699981,0.39058149,0.51024628,0.73512822,-1.0934869,-0.63100636,-1.7777776
50,VT,6.147193051052806,6.274259414552263,0.070694774,0.10848522,0.26259363,0.55822635,0.0025517608,0.01792473,0.015800036,0.01985579,0.94386768,0.38916522,37269.94444444445,0.22728014,0.13542783,0.087315671,0.11123572,0.081889145,0.025278276,0.10530036,0.13856259,0.39797869,0.27379227,0.33669555,-1.4845823,-0.28209913,-1.2376492
51,VA,6.060873031148653,5.971211870275461,0.21721275,0.48193187,0.057720993,0.24313439,0.0031788386,0.068303511,0.13321584,0.24228501,0.55301678,0.40647587,568065.8,0.31569609,0.25332755,0.1856412,0.17761983,0.35894018,0.27012157,0.21704918,0.21673764,0.40884802,0.42713326,0.84506929,-1.2182692,0.012195922,-0.30140826
53,WA,5.867004317085605,5.734666467130128,0.33794269,0.43921852,0.13420632,0.088632472,0.017240047,0.082437687,0.21964085,0.050655503,0.63002592,0.4557299,478636.3,0.28783533,0.2450538,0.16866492,0.18971989,0.23689365,0.28578788,0.20493321,0.23272496,0.46774611,0.20264715,0.46730766,-1.5054201,-1.1207435,-1.8914407
54,WV,4.86883999479936,5.02965102263719,0.14866,0.23905744,0.2432486,0.36903396,0.0011706828,0.0070941676,0.01431834,0.049945969,0.92747086,0.56432843,122122.7,0.24831635,0.19532505,0.053965699,0.20751606,0.14648667,0.046753112,0.071401462,0.20137917,0.62732697,-0.55083638,-0.43383822,-2.318033,-0.91037709,-2.2006471
55,WI,5.940858745709468,5.709784794457994,0.30477238,0.27481583,0.2174719,0.20293988,0.013186718,0.038106874,0.10725037,0.097903453,0.74355257,0.40987721,367258.2,0.53983194,0.29603797,0.17640704,0.18320712,0.55407405,0.29739082,0.21545748,0.22429712,0.41413355,0.17172676,0.53108722,-3.322681,-1.3441919,-1.8663205
56,WY,6.029336474502867,6.018659850244262,0.28731266,0,0.49512291,0.21756442,0.035208322,0.0086316112,0.13532494,0.012310965,0.80852413,0.39122051,42189.11111111111,0.15936048,0.11297476,0.081473537,0.080911189,0.033390347,0.093716584,0.098391779,0.098064013,0.36592343,0.48394704,0.6531747,-1.3167636,-0.41903174,-1.8933086
